timestampString;value;temperature;Fault
2016-Feb-03 20:20:00;5.91;52;0
2016-Feb-03 20:30:00;5.41;3454.75;0
2016-Feb-03 20:40:00;5.41;4615;0
2016-Feb-03 20:50:00;5.41;1708;0
2016-Feb-03 21:00:00;5.41;50.33;0
2016-Feb-03 21:10:00;5.41;51;0
2016-Feb-03 21:20:00;5.14;51;0
2016-Feb-03 21:30:00;4.11;4398;0
2016-Feb-03 21:40:00;3.35;4595.67;0
2016-Feb-03 21:50:00;2.84;4770;0
2016-Feb-03 22:00:00;2.34;5629.75;1
2016-Feb-03 22:10:00;2.34;6322.75;1
2016-Feb-03 22:20:00;2.34;4476.67;0
2016-Feb-03 22:30:00;2.83;4476.67;0
2016-Feb-03 22:40:00;3.34;51.5;0
2016-Feb-03 22:50:00;3.85;3633.25;0
2016-Feb-03 23:00:00;3.85;4711.67;0
2016-Feb-03 23:10:00;4.35;1641.67;0
2016-Feb-03 23:20:00;4.35;51.5;0
2016-Feb-03 23:30:00;3.85;51.5;0
2016-Feb-03 23:40:00;3.34;51.25;0
2016-Feb-03 23:50:00;2.83;2527.5;0
2016-Feb-04 00:00:00;2.32;4665;0
2016-Feb-04 00:10:00;1.82;1950.4;0
2016-Feb-04 00:20:00;1.32;51.5;0
2016-Feb-04 00:30:00;1.32;51.5;0
2016-Feb-04 00:40:00;1.32;51.67;0
2016-Feb-04 00:50:00;0.82;51.67;0
