timestampString;value;temperature
2016-Feb-11 22:30:00;4423;1.12
2016-Feb-11 22:40:00;4497.5;1.12
2016-Feb-11 22:50:00;4572;1.12
2016-Feb-11 23:00:00;4572;1.12
2016-Feb-11 23:10:00;1652;1.12
2016-Feb-11 23:20:00;1652;1.12
2016-Feb-11 23:30:00;17;1.62
2016-Feb-11 23:40:00;2951.17;1.62
2016-Feb-11 23:50:00;4499.5;1.62
2016-Feb-12 00:00:00;4573;1.62
2016-Feb-12 00:10:00;4573;1.62
2016-Feb-12 00:20:00;4597;1.38
2016-Feb-12 00:30:00;137;1.13
2016-Feb-12 00:40:00;17;1.62
2016-Feb-12 00:50:00;17.5;1.62
